,Unnamed: 0,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss,iteration
6144,241,128,70,4,0.2,1024,0.0075,adam,20,0.06,0.5183,0.1725,10
3840,597,256,60,4,0.1,768,0.005,sgd,15,0.05,0.5001,0.1977,_7
4608,508,256,35,32,0.25,2560,0.025,sgd,15,0.05,0.4912,0.1791,_8
5376,257,128,60,8,0.1,1024,0.0075,adam,20,0.025,0.4816,0.2267,_9
3841,410,256,45,4,0.1,768,0.025,adam,45,0.01,0.4792,0.187,_7
3842,78,128,45,8,0.1,512,0.025,sgd,45,0.01,0.4785,0.2242,_7
3843,347,128,60,16,0.1,768,0.025,adam,45,0.05,0.4765,0.1692,_7
3844,447,256,45,4,0.5,768,0.025,sgd,45,0.05,0.4759,0.1433,_7
2304,299,128,50,64,0.5,512,0.025,adam,45,0.05,0.4751,0.1929,_5
4609,657,256,55,32,0.1,2560,0.01,adam,15,0.075,0.475,0.1683,_8
3845,749,256,60,16,0.5,512,0.025,sgd,15,0.05,0.4741,0.146,_7
6145,669,256,70,8,0.05,1024,0.015,sgd,20,0.06,0.4704,0.1828,10
6146,78,128,40,8,0.05,768,0.015,sgd,45,0.025,0.4702,0.1542,10
2305,621,256,50,8,0.5,512,0.025,sgd,15,0.05,0.4695,0.1759,_5
4610,327,128,55,64,0.1,1024,0.01,sgd,45,0.075,0.4693,0.1301,_8
6147,15,128,40,4,0.05,768,0.015,sgd,45,0.06,0.4677,0.1785,10
1024,443,1536,65,8,0.5,1536,0.01,adam,45,0.01,0.4649,0.1653,_3
6148,16,128,40,4,0.05,1024,0.0075,adam,20,0.025,0.464,0.2074,10
3847,246,128,60,4,0.5,768,0.005,sgd,45,0.01,0.4639,0.1659,_7
3846,445,256,45,4,0.5,768,0.025,sgd,15,0.05,0.4639,0.1958,_7
