,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
467,1024,75,256,0.1,2048,0.005,sgd,45,0.05,0.685,0.1546
267,1024,40,64,0.1,512,0.05,sgd,45,0.05,0.676,0.2039
323,1024,40,256,0.1,512,0.005,sgd,45,0.05,0.6746,0.1964
82,512,40,256,0.1,2048,0.005,sgd,45,0.01,0.6746,0.1961
50,512,40,64,0.5,2048,0.005,sgd,45,0.01,0.6745,0.172
115,512,40,256,0.5,2048,0.005,sgd,45,0.05,0.6741,0.1555
51,512,40,64,0.5,2048,0.005,sgd,45,0.05,0.6718,0.1613
442,1024,75,64,0.5,2048,0.05,sgd,45,0.01,0.6717,0.1527
355,1024,40,256,0.5,512,0.005,sgd,45,0.05,0.6716,0.1724
99,512,40,256,0.5,512,0.005,sgd,45,0.05,0.6707,0.1634
67,512,40,256,0.1,512,0.005,sgd,45,0.05,0.67,0.1969
371,1024,40,256,0.5,2048,0.005,sgd,45,0.05,0.6697,0.1724
257,1024,40,64,0.1,512,0.005,sgd,40,0.05,0.6693,0.171
18,512,40,64,0.1,2048,0.005,sgd,45,0.01,0.6677,0.174
259,1024,40,64,0.1,512,0.005,sgd,45,0.05,0.6674,0.177
315,1024,40,64,0.5,2048,0.05,sgd,45,0.05,0.6673,0.1984
291,1024,40,64,0.5,512,0.005,sgd,45,0.05,0.6672,0.1605
322,1024,40,256,0.1,512,0.005,sgd,45,0.01,0.6669,0.2112
305,1024,40,64,0.5,2048,0.005,sgd,40,0.05,0.6667,0.1702
27,512,40,64,0.1,2048,0.05,sgd,45,0.05,0.6667,0.1448
339,1024,40,256,0.1,2048,0.005,sgd,45,0.05,0.6665,0.2108
373,1024,40,256,0.5,2048,0.005,adam,40,0.05,0.6663,0.178
297,1024,40,64,0.5,512,0.05,sgd,40,0.05,0.666,0.2
451,1024,75,256,0.1,512,0.005,sgd,45,0.05,0.6659,0.1437
318,1024,40,64,0.5,2048,0.05,adam,45,0.01,0.6657,0.1445
178,512,75,64,0.5,2048,0.005,sgd,45,0.01,0.6657,0.1306
330,1024,40,256,0.1,512,0.05,sgd,45,0.01,0.6655,0.2204
488,1024,75,256,0.5,512,0.05,sgd,40,0.01,0.6653,0.1559
370,1024,40,256,0.5,2048,0.005,sgd,45,0.01,0.6652,0.1687
354,1024,40,256,0.5,512,0.005,sgd,45,0.01,0.6646,0.1701
307,1024,40,64,0.5,2048,0.005,sgd,45,0.05,0.6644,0.172
388,1024,75,64,0.1,512,0.005,adam,40,0.01,0.6643,0.1574
303,1024,40,64,0.5,512,0.05,adam,45,0.05,0.6642,0.194
244,512,75,256,0.5,2048,0.005,adam,40,0.01,0.6642,0.15
58,512,40,64,0.5,2048,0.05,sgd,45,0.01,0.6638,0.176
273,1024,40,64,0.1,2048,0.005,sgd,40,0.05,0.6634,0.1795
306,1024,40,64,0.5,2048,0.005,sgd,45,0.01,0.6629,0.17
311,1024,40,64,0.5,2048,0.005,adam,45,0.05,0.6627,0.188
365,1024,40,256,0.5,512,0.05,adam,40,0.05,0.6626,0.1695
472,1024,75,256,0.1,2048,0.05,sgd,40,0.01,0.6624,0.1662
338,1024,40,256,0.1,2048,0.005,sgd,45,0.01,0.6621,0.2134
368,1024,40,256,0.5,2048,0.005,sgd,40,0.01,0.6621,0.1592
0,512,40,64,0.1,512,0.005,sgd,40,0.01,0.6619,0.1912
216,512,75,256,0.1,2048,0.05,sgd,40,0.01,0.6618,0.1782
304,1024,40,64,0.5,2048,0.005,sgd,40,0.01,0.6618,0.1688
52,512,40,64,0.5,2048,0.005,adam,40,0.01,0.6617,0.1751
2,512,40,64,0.1,512,0.005,sgd,45,0.01,0.6615,0.1851
448,1024,75,256,0.1,512,0.005,sgd,40,0.01,0.6614,0.1511
65,512,40,256,0.1,512,0.005,sgd,40,0.05,0.6613,0.1846
361,1024,40,256,0.5,512,0.05,sgd,40,0.05,0.6613,0.171
268,1024,40,64,0.1,512,0.05,adam,40,0.01,0.6612,0.1648
502,1024,75,256,0.5,2048,0.005,adam,45,0.01,0.661,0.1311
278,1024,40,64,0.1,2048,0.005,adam,45,0.01,0.6609,0.2322
465,1024,75,256,0.1,2048,0.005,sgd,40,0.05,0.6605,0.1344
275,1024,40,64,0.1,2048,0.005,sgd,45,0.05,0.6603,0.176
290,1024,40,64,0.5,512,0.005,sgd,45,0.01,0.6603,0.1581
279,1024,40,64,0.1,2048,0.005,adam,45,0.05,0.6601,0.2047
337,1024,40,256,0.1,2048,0.005,sgd,40,0.05,0.6598,0.2068
32,512,40,64,0.5,512,0.005,sgd,40,0.01,0.6597,0.1633
296,1024,40,64,0.5,512,0.05,sgd,40,0.01,0.6595,0.1855
272,1024,40,64,0.1,2048,0.005,sgd,40,0.01,0.6594,0.2018
263,1024,40,64,0.1,512,0.005,adam,45,0.05,0.6594,0.1801
353,1024,40,256,0.5,512,0.005,sgd,40,0.05,0.6593,0.1578
399,1024,75,64,0.1,512,0.05,adam,45,0.05,0.6589,0.1475
146,512,75,64,0.1,2048,0.005,sgd,45,0.01,0.6589,0.1421
302,1024,40,64,0.5,512,0.05,adam,45,0.01,0.6587,0.1924
289,1024,40,64,0.5,512,0.005,sgd,40,0.05,0.6585,0.1757
484,1024,75,256,0.5,512,0.005,adam,40,0.01,0.6584,0.1698
301,1024,40,64,0.5,512,0.05,adam,40,0.05,0.6584,0.1565
256,1024,40,64,0.1,512,0.005,sgd,40,0.01,0.6583,0.1876
369,1024,40,256,0.5,2048,0.005,sgd,40,0.05,0.6583,0.1575
464,1024,75,256,0.1,2048,0.005,sgd,40,0.01,0.658,0.1509
34,512,40,64,0.5,512,0.005,sgd,45,0.01,0.6577,0.1648
97,512,40,256,0.5,512,0.005,sgd,40,0.05,0.6577,0.1481
87,512,40,256,0.1,2048,0.005,adam,45,0.05,0.6576,0.1525
390,1024,75,64,0.1,512,0.005,adam,45,0.01,0.6575,0.1608
69,512,40,256,0.1,512,0.005,adam,40,0.05,0.6574,0.1824
329,1024,40,256,0.1,512,0.05,sgd,40,0.05,0.6566,0.1687
426,1024,75,64,0.5,512,0.05,sgd,45,0.01,0.6566,0.1527
122,512,40,256,0.5,2048,0.05,sgd,45,0.01,0.6565,0.18
466,1024,75,256,0.1,2048,0.005,sgd,45,0.01,0.6565,0.1489
404,1024,75,64,0.1,2048,0.005,adam,40,0.01,0.6563,0.1623
103,512,40,256,0.5,512,0.005,adam,45,0.05,0.6562,0.1303
70,512,40,256,0.1,512,0.005,adam,45,0.01,0.6558,0.1459
286,1024,40,64,0.1,2048,0.05,adam,45,0.01,0.6556,0.1555
81,512,40,256,0.1,2048,0.005,sgd,40,0.05,0.6555,0.1848
288,1024,40,64,0.5,512,0.005,sgd,40,0.01,0.6554,0.1649
400,1024,75,64,0.1,2048,0.005,sgd,40,0.01,0.6548,0.15
71,512,40,256,0.1,512,0.005,adam,45,0.05,0.6548,0.138
336,1024,40,256,0.1,2048,0.005,sgd,40,0.01,0.6546,0.2036
506,1024,75,256,0.5,2048,0.05,sgd,45,0.01,0.6546,0.1396
375,1024,40,256,0.5,2048,0.005,adam,45,0.05,0.6545,0.1817
341,1024,40,256,0.1,2048,0.005,adam,40,0.05,0.6544,0.155
418,1024,75,64,0.5,512,0.005,sgd,45,0.01,0.6544,0.1223
363,1024,40,256,0.5,512,0.05,sgd,45,0.05,0.6543,0.1556
450,1024,75,256,0.1,512,0.005,sgd,45,0.01,0.6539,0.1464
438,1024,75,64,0.5,2048,0.005,adam,45,0.01,0.6538,0.1574
23,512,40,64,0.1,2048,0.005,adam,45,0.05,0.6536,0.164
35,512,40,64,0.5,512,0.005,sgd,45,0.05,0.6535,0.1504
98,512,40,256,0.5,512,0.005,sgd,45,0.01,0.6535,0.1399
274,1024,40,64,0.1,2048,0.005,sgd,45,0.01,0.6534,0.1937
313,1024,40,64,0.5,2048,0.05,sgd,40,0.05,0.6534,0.1715
17,512,40,64,0.1,2048,0.005,sgd,40,0.05,0.6527,0.1709
102,512,40,256,0.5,512,0.005,adam,45,0.01,0.6527,0.1593
392,1024,75,64,0.1,512,0.05,sgd,40,0.01,0.6526,0.1706
128,512,75,64,0.1,512,0.005,sgd,40,0.01,0.6524,0.1517
434,1024,75,64,0.5,2048,0.005,sgd,45,0.01,0.6522,0.1239
362,1024,40,256,0.5,512,0.05,sgd,45,0.01,0.6521,0.1915
482,1024,75,256,0.5,512,0.005,sgd,45,0.01,0.6521,0.1319
420,1024,75,64,0.5,512,0.005,adam,40,0.01,0.6519,0.1495
265,1024,40,64,0.1,512,0.05,sgd,40,0.05,0.6515,0.1729
422,1024,75,64,0.5,512,0.005,adam,45,0.01,0.6512,0.1543
113,512,40,256,0.5,2048,0.005,sgd,40,0.05,0.6512,0.1542
4,512,40,64,0.1,512,0.005,adam,40,0.01,0.6508,0.2491
26,512,40,64,0.1,2048,0.05,sgd,45,0.01,0.6508,0.186
312,1024,40,64,0.5,2048,0.05,sgd,40,0.01,0.6506,0.2036
320,1024,40,256,0.1,512,0.005,sgd,40,0.01,0.6506,0.1979
124,512,40,256,0.5,2048,0.05,adam,40,0.01,0.6505,0.1415
490,1024,75,256,0.5,512,0.05,sgd,45,0.01,0.6505,0.1317
433,1024,75,64,0.5,2048,0.005,sgd,40,0.05,0.6504,0.1236
16,512,40,64,0.1,2048,0.005,sgd,40,0.01,0.6503,0.1784
321,1024,40,256,0.1,512,0.005,sgd,40,0.05,0.6501,0.1842
41,512,40,64,0.5,512,0.05,sgd,40,0.05,0.65,0.1739
132,512,75,64,0.1,512,0.005,adam,40,0.01,0.6499,0.1365
3,512,40,64,0.1,512,0.005,sgd,45,0.05,0.6497,0.1603
54,512,40,64,0.5,2048,0.005,adam,45,0.01,0.6496,0.1518
504,1024,75,256,0.5,2048,0.05,sgd,40,0.01,0.6495,0.1706
310,1024,40,64,0.5,2048,0.005,adam,45,0.01,0.6486,0.2197
258,1024,40,64,0.1,512,0.005,sgd,45,0.01,0.6486,0.1792
119,512,40,256,0.5,2048,0.005,adam,45,0.05,0.6486,0.1429
148,512,75,64,0.1,2048,0.005,adam,40,0.01,0.6485,0.1573
360,1024,40,256,0.5,512,0.05,sgd,40,0.01,0.6484,0.1952
440,1024,75,64,0.5,2048,0.05,sgd,40,0.01,0.6484,0.1372
498,1024,75,256,0.5,2048,0.005,sgd,45,0.01,0.6482,0.1333
19,512,40,64,0.1,2048,0.005,sgd,45,0.05,0.648,0.1688
435,1024,75,64,0.5,2048,0.005,sgd,45,0.05,0.6479,0.1223
144,512,75,64,0.1,2048,0.005,sgd,40,0.01,0.6478,0.1546
24,512,40,64,0.1,2048,0.05,sgd,40,0.01,0.6476,0.1662
401,1024,75,64,0.1,2048,0.005,sgd,40,0.05,0.6473,0.1269
39,512,40,64,0.5,512,0.005,adam,45,0.05,0.6472,0.15
499,1024,75,256,0.5,2048,0.005,sgd,45,0.05,0.6472,0.1296
12,512,40,64,0.1,512,0.05,adam,40,0.01,0.6471,0.146
415,1024,75,64,0.1,2048,0.05,adam,45,0.05,0.6471,0.1243
346,1024,40,256,0.1,2048,0.05,sgd,45,0.01,0.647,0.2095
408,1024,75,64,0.1,2048,0.05,sgd,40,0.01,0.647,0.1575
483,1024,75,256,0.5,512,0.005,sgd,45,0.05,0.647,0.1249
7,512,40,64,0.1,512,0.005,adam,45,0.05,0.6468,0.1794
14,512,40,64,0.1,512,0.05,adam,45,0.01,0.6467,0.1552
114,512,40,256,0.5,2048,0.005,sgd,45,0.01,0.6466,0.1408
