,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
299,128,50,64,0.5,512,0.025,adam,45,0.05,0.4751,0.1929
621,256,50,8,0.5,512,0.025,sgd,15,0.05,0.4695,0.1759
347,128,50,128,0.1,2048,0.025,adam,45,0.05,0.4507,0.1224
155,128,25,128,0.1,2048,0.025,adam,45,0.05,0.4453,0.1869
729,256,50,128,0.1,2048,0.025,adam,15,0.05,0.445,0.1179
383,128,50,128,0.5,2048,0.025,sgd,45,0.05,0.4431,0.1805
463,256,25,64,0.1,512,0.025,sgd,45,0.05,0.4375,0.2063
218,128,50,8,0.1,2048,0.025,adam,45,0.005,0.4375,0.172
379,128,50,128,0.5,2048,0.025,adam,45,0.05,0.4365,0.1212
283,128,50,64,0.1,2048,0.025,adam,45,0.05,0.4353,0.1361
634,256,50,8,0.5,2048,0.025,adam,45,0.005,0.4308,0.157
761,256,50,128,0.5,2048,0.025,adam,15,0.05,0.4307,0.1738
10,128,25,8,0.1,512,0.025,adam,45,0.005,0.4278,0.175
559,256,25,128,0.5,512,0.025,sgd,45,0.05,0.4221,0.2225
623,256,50,8,0.5,512,0.025,sgd,45,0.05,0.421,0.1517
735,256,50,128,0.1,2048,0.025,sgd,45,0.05,0.4209,0.1694
611,256,50,8,0.5,512,0.001,adam,45,0.05,0.4209,0.1385
503,256,25,64,0.5,2048,0.001,sgd,45,0.05,0.4192,0.1313
703,256,50,64,0.5,2048,0.025,sgd,45,0.05,0.4181,0.1738
239,128,50,8,0.5,512,0.025,sgd,45,0.05,0.418,0.1381
759,256,50,128,0.5,2048,0.001,sgd,45,0.05,0.4173,0.0935
442,256,25,8,0.5,2048,0.025,adam,45,0.005,0.4166,0.1704
127,128,25,64,0.5,2048,0.025,sgd,45,0.05,0.4163,0.1978
502,256,25,64,0.5,2048,0.001,sgd,45,0.005,0.4163,0.1437
551,256,25,128,0.5,512,0.001,sgd,45,0.05,0.4162,0.1399
367,128,50,128,0.5,512,0.025,sgd,45,0.05,0.4157,0.1837
267,128,50,64,0.1,512,0.025,adam,45,0.05,0.4138,0.1361
691,256,50,64,0.5,2048,0.001,adam,45,0.05,0.4128,0.1809
669,256,50,64,0.1,2048,0.025,sgd,15,0.05,0.4108,0.1287
494,256,25,64,0.5,512,0.025,sgd,45,0.005,0.4107,0.1941
627,256,50,8,0.5,2048,0.001,adam,45,0.05,0.4106,0.1457
317,128,50,64,0.5,2048,0.025,sgd,15,0.05,0.4106,0.1192
671,256,50,64,0.1,2048,0.025,sgd,45,0.05,0.4101,0.1937
683,256,50,64,0.5,512,0.025,adam,45,0.05,0.4098,0.1822
763,256,50,128,0.5,2048,0.025,adam,45,0.05,0.4096,0.134
403,256,25,8,0.1,2048,0.001,adam,45,0.05,0.4091,0.1943
143,128,25,128,0.1,512,0.025,sgd,45,0.05,0.4088,0.1803
410,256,25,8,0.1,2048,0.025,adam,45,0.005,0.4088,0.1741
