,batch_size,bce_pos_class_weight,dropout_p,hidden_layer_size,input_layer_norm,lr,num_layers,optimizer_type,sequence_length,weight_decay,tss,hss
364,128,45,0.5,2,False,0.005,1,adam,45,0.01,0.5122,0.2218
758,256,45,0.1,4,False,0.0075,1,adam,40,0.01,0.5079,0.1986
389,128,45,0.5,4,False,0.005,1,adam,45,0.05,0.4861,0.217
173,128,30,0.1,4,False,0.005,1,adam,45,0.05,0.4859,0.2358
699,256,30,0.5,32,False,0.005,1,adam,40,0.05,0.4854,0.2665
627,256,30,0.1,32,False,0.005,1,adam,40,0.05,0.4849,0.2544
713,256,30,0.5,32,False,0.0075,1,adam,45,0.05,0.481,0.2495
257,128,30,0.5,4,False,0.0075,1,adam,45,0.05,0.481,0.2384
761,256,45,0.1,4,False,0.0075,1,adam,45,0.05,0.4771,0.236
711,256,30,0.5,32,False,0.0075,1,adam,40,0.05,0.4766,0.2388
267,128,30,0.5,32,False,0.005,1,adam,40,0.05,0.476,0.2421
639,256,30,0.1,32,False,0.0075,1,adam,40,0.05,0.4755,0.2332
217,128,30,0.5,2,False,0.005,1,adam,15,0.05,0.4754,0.2706
377,128,45,0.5,2,False,0.0075,1,adam,45,0.05,0.4753,0.2059
401,128,45,0.5,4,False,0.0075,1,adam,45,0.05,0.475,0.2068
385,128,45,0.5,4,False,0.005,1,adam,15,0.05,0.4742,0.1993
327,128,45,0.1,4,False,0.0075,1,adam,40,0.05,0.4739,0.2195
399,128,45,0.5,4,False,0.0075,1,adam,40,0.05,0.4736,0.2003
361,128,45,0.5,2,False,0.005,1,adam,15,0.05,0.4725,0.2449
843,256,45,0.5,32,False,0.005,1,adam,40,0.05,0.4721,0.2159
701,256,30,0.5,32,False,0.005,1,adam,45,0.05,0.472,0.2412
241,128,30,0.5,4,False,0.005,1,adam,15,0.05,0.4701,0.2538
773,256,45,0.1,32,False,0.005,1,adam,45,0.05,0.4701,0.1989
253,128,30,0.5,4,False,0.0075,1,adam,15,0.05,0.47,0.2379
160,128,30,0.1,2,False,0.0075,1,adam,45,0.01,0.4699,0.2122
255,128,30,0.5,4,False,0.0075,1,adam,40,0.05,0.4687,0.2219
195,128,30,0.1,32,False,0.005,1,adam,40,0.05,0.4681,0.2259
650,256,30,0.5,2,False,0.005,1,adam,40,0.01,0.4676,0.1922
857,256,45,0.5,32,False,0.0075,1,adam,45,0.05,0.465,0.1932
194,128,30,0.1,32,False,0.005,1,adam,40,0.01,0.465,0.1853
629,256,30,0.1,32,False,0.005,1,adam,45,0.05,0.4648,0.239
855,256,45,0.5,32,False,0.0075,1,adam,40,0.05,0.4644,0.2159
