,Unnamed: 0,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss,iteration
1861,475,2048,40,8,0.1,2048,0.01,adam,45,0.05,0.3569,0.2913,_4
2123,75,1024,40,8,0.1,512,0.01,adam,45,0.05,0.2897,0.2819,_4
2118,123,1024,40,8,0.5,2048,0.01,adam,45,0.05,0.2923,0.2727,_4
1642,489,2048,40,8,0.5,512,0.01,adam,15,0.05,0.3862,0.2685,_4
2058,395,2048,40,4,0.1,512,0.01,adam,45,0.05,0.3226,0.2666,_4
1692,667,2048,65,8,0.1,2048,0.01,adam,45,0.05,0.3787,0.2657,_4
2050,507,2048,40,8,0.5,2048,0.01,adam,45,0.05,0.3261,0.2632,_4
1918,203,1024,65,4,0.1,512,0.01,adam,45,0.05,0.3489,0.2619,_4
1596,425,2048,40,4,0.5,512,0.01,adam,15,0.05,0.3956,0.2576,_4
1688,587,2048,65,4,0.1,512,0.01,adam,45,0.05,0.3794,0.2555,_4
2076,537,2048,40,128,0.1,2048,0.01,adam,15,0.05,0.3172,0.2552,_4
1617,715,2048,65,128,0.1,512,0.01,adam,45,0.05,0.3899,0.2551,_4
2106,91,1024,40,8,0.1,2048,0.01,adam,45,0.05,0.298,0.2546,_4
988,459,1024,75,64,0.1,64,0.03,adam,45,0.01,0.2654,0.2533,_2
1074,209,768,65,16,0.1,1536,0.005,adam,40,0.01,0.399,0.253,_3
2155,331,1024,65,128,0.1,512,0.01,adam,45,0.05,0.2643,0.2508,_4
1896,411,2048,40,4,0.1,2048,0.01,adam,45,0.05,0.3518,0.2508,_4
1374,9,768,40,8,0.1,128,0.01,adam,40,0.01,0.3369,0.2505,_3
5676,145,128,30,24,0.1,2560,0.0075,adam,20,0.025,0.376,0.2495,_9
156,283,512,30,16,0.1,1048,0.01,adam,45,0.01,0.3184,0.2489,_1
