,Unnamed: 0,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss,iteration
3897,331,1024,5,256,0.1,1536,0.01,sgd,45,0.04,0.4146,0.3973,_8
3895,267,1024,5,96,0.1,1536,0.01,sgd,45,0.04,0.415,0.3942,_8
3913,74,512,5,256,0.1,1536,0.01,sgd,45,0.02,0.3896,0.391,_8
3912,283,1024,5,96,0.1,2048,0.01,sgd,45,0.04,0.3901,0.3909,_8
3896,347,1024,5,256,0.1,2048,0.01,sgd,45,0.04,0.4147,0.3879,_8
3863,26,512,5,96,0.1,2048,0.01,sgd,45,0.02,0.4648,0.3877,_8
3889,315,1024,5,96,0.25,2048,0.01,sgd,45,0.04,0.4338,0.3874,_8
3885,282,1024,5,96,0.1,2048,0.01,sgd,45,0.02,0.4356,0.386,_8
3878,299,1024,5,96,0.25,1536,0.01,sgd,45,0.04,0.4455,0.3853,_8
3893,346,1024,5,256,0.1,2048,0.01,sgd,45,0.02,0.4257,0.3847,_8
3887,3,512,5,96,0.1,1536,0.005,sgd,45,0.04,0.4351,0.3834,_8
4295,138,1024,10,32,0.1,2048,0.005,adam,45,0.02,0.4867,0.3833,_9
3870,66,512,5,256,0.1,1536,0.005,sgd,45,0.02,0.4534,0.3821,_8
3871,323,1024,5,256,0.1,1536,0.005,sgd,45,0.04,0.453,0.3818,_8
3906,19,512,5,96,0.1,2048,0.005,sgd,45,0.04,0.3981,0.3817,_8
3886,330,1024,5,256,0.1,1536,0.01,sgd,45,0.02,0.4353,0.3814,_8
3880,266,1024,5,96,0.1,1536,0.01,sgd,45,0.02,0.4425,0.3813,_8
3866,82,512,5,256,0.1,2048,0.005,sgd,45,0.02,0.4583,0.3803,_8
3877,18,512,5,96,0.1,2048,0.005,sgd,45,0.02,0.4466,0.3796,_8
3874,339,1024,5,256,0.1,2048,0.005,sgd,45,0.04,0.4486,0.3795,_8
