,Unnamed: 0,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss,iteration
1536,467,1024,75,256,0.1,2048,0.005,sgd,45,0.05,0.685,0.1546,_4
2048,451,1024,60,512,0.1,1536,0.005,sgd,45,0.05,0.6828,0.1867,_5
4352,165,1024,35,256,0.05,1024,0.01,sgd,45,0.05,0.6828,0.1942,10
4353,57,512,35,256,0.35,2048,0.005,sgd,45,0.05,0.6827,0.1843,10
4354,224,1024,50,256,0.05,1024,0.005,sgd,45,0.03,0.6826,0.1746,10
2049,483,1024,60,512,0.25,1536,0.005,sgd,45,0.05,0.6814,0.1637,_5
0,283,512,35,16,0.1,1048,0.01,sgd,45,0.01,0.6811,0.1863,_1
4355,205,1024,50,48,0.05,2048,0.01,sgd,45,0.05,0.68,0.1726,10
1024,443,1024,50,32,0.5,2048,0.025,sgd,45,0.025,0.6797,0.1799,_3
4356,105,512,50,256,0.05,2048,0.005,sgd,45,0.05,0.6797,0.1773,10
4357,220,1024,50,48,0.35,2048,0.01,sgd,45,0.03,0.6791,0.1611,10
512,491,1024,65,64,0.5,256,0.01,sgd,45,0.01,0.6781,0.1495,_2
2050,147,512,60,192,0.1,2560,0.005,sgd,45,0.05,0.6778,0.1464,_5
1025,211,512,50,128,0.1,2048,0.005,sgd,45,0.025,0.6777,0.171,_3
2560,131,512,60,320,0.2,768,0.0025,sgd,45,0.075,0.6776,0.1433,_6
3072,422,1024,70,32,0.25,1536,0.005,adam,45,0.01,0.6774,0.1597,_7
4358,97,512,50,256,0.05,1024,0.005,sgd,45,0.05,0.6774,0.1748,10
3073,499,1024,70,512,0.25,2048,0.005,sgd,45,0.05,0.677,0.1449,_7
4096,220,1024,65,32,0.25,2048,0.025,sgd,45,0.02,0.6761,0.1727,_9
1537,267,1024,40,64,0.1,512,0.05,sgd,45,0.05,0.676,0.2039,_4
