,Unnamed: 0,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss,iteration,tss+hss
5376,257,128,60,8,0.1,1024,0.0075,adam,20,0.025,0.4816,0.2267,_9,0.7082999999999999
3842,78,128,45,8,0.1,512,0.025,sgd,45,0.01,0.4785,0.2242,_7,0.7027
3840,597,256,60,4,0.1,768,0.005,sgd,15,0.05,0.5001,0.1977,_7,0.6978
6144,241,128,70,4,0.2,1024,0.0075,adam,20,0.06,0.5183,0.1725,10,0.6908
5399,513,256,30,24,0.1,1024,0.0075,adam,20,0.025,0.4313,0.2409,_9,0.6722
6148,16,128,40,4,0.05,1024,0.0075,adam,20,0.025,0.464,0.2074,10,0.6714
4608,508,256,35,32,0.25,2560,0.025,sgd,15,0.05,0.4912,0.1791,_8,0.6703
1545,299,1024,65,8,0.5,512,0.01,adam,45,0.05,0.4318,0.238,_4,0.6698
2304,299,128,50,64,0.5,512,0.025,adam,45,0.05,0.4751,0.1929,_5,0.668
6165,456,256,40,8,0.05,768,0.015,adam,20,0.025,0.4427,0.2247,10,0.6674
3841,410,256,45,4,0.1,768,0.025,adam,45,0.01,0.4792,0.187,_7,0.6662
6225,64,128,40,8,0.05,768,0.0075,adam,20,0.025,0.4194,0.2422,10,0.6616
3846,445,256,45,4,0.5,768,0.025,sgd,15,0.05,0.4639,0.1958,_7,0.6597
5385,118,128,30,8,0.35,2560,0.0075,sgd,45,0.01,0.4405,0.2186,_9,0.6591
1541,633,2048,65,4,0.5,2048,0.01,adam,15,0.05,0.4353,0.2221,_4,0.6574
1642,489,2048,40,8,0.5,512,0.01,adam,15,0.05,0.3862,0.2685,_4,0.6547000000000001
6145,669,256,70,8,0.05,1024,0.015,sgd,20,0.06,0.4704,0.1828,10,0.6532
1596,425,2048,40,4,0.5,512,0.01,adam,15,0.05,0.3956,0.2576,_4,0.6532
6149,172,128,40,12,0.2,768,0.015,sgd,20,0.025,0.4638,0.1887,10,0.6525
1074,209,768,65,16,0.1,1536,0.005,adam,40,0.01,0.399,0.253,_3,0.652
