,Unnamed: 0,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss,iteration,tss+hss
4213,49,512,10,128,0.25,1024,0.005,sgd,45,0.04,0.5897,0.3325,_9,0.9222
3309,363,1024,10,512,0.25,1536,0.01,sgd,45,0.05,0.5939,0.3282,_7,0.9220999999999999
2311,323,1024,15,512,0.1,1536,0.005,sgd,45,0.05,0.5949,0.3217,_5,0.9166
2286,274,1024,15,192,0.1,2560,0.005,sgd,45,0.01,0.6035,0.3128,_5,0.9163000000000001
2283,258,1024,15,192,0.1,1536,0.005,sgd,45,0.01,0.6047,0.3112,_5,0.9158999999999999
3305,362,1024,10,512,0.25,1536,0.01,sgd,45,0.01,0.5968,0.3158,_7,0.9126000000000001
2306,338,1024,15,512,0.1,2560,0.005,sgd,45,0.01,0.596,0.3166,_5,0.9126
3356,282,1024,10,32,0.1,2048,0.01,sgd,45,0.01,0.5622,0.349,_7,0.9112
4218,32,512,10,128,0.1,1024,0.005,sgd,45,0.02,0.5742,0.3369,_9,0.9111
3347,346,1024,10,512,0.1,2048,0.01,sgd,45,0.01,0.5667,0.344,_7,0.9107
2237,371,1024,15,512,0.25,2560,0.005,sgd,45,0.05,0.6199,0.2902,_5,0.9101
3328,115,512,10,512,0.25,2048,0.005,sgd,45,0.05,0.5775,0.332,_7,0.9095
2231,370,1024,15,512,0.25,2560,0.005,sgd,45,0.01,0.6212,0.2871,_5,0.9083
2252,355,1024,15,512,0.25,1536,0.005,sgd,45,0.05,0.6162,0.2917,_5,0.9078999999999999
2222,305,1024,15,192,0.25,2560,0.005,sgd,40,0.05,0.6241,0.2836,_5,0.9077
4233,52,512,10,128,0.25,1024,0.025,sgd,45,0.02,0.5623,0.3452,_9,0.9075
2333,339,1024,15,512,0.1,2560,0.005,sgd,45,0.05,0.5851,0.3222,_5,0.9073
3310,378,1024,10,512,0.25,2048,0.01,sgd,45,0.01,0.591,0.3163,_7,0.9073
3306,58,512,10,32,0.25,2048,0.01,sgd,45,0.01,0.5961,0.3111,_7,0.9072
2312,3,512,15,192,0.1,1536,0.005,sgd,45,0.05,0.5948,0.3119,_5,0.9067000000000001
