,Unnamed: 0,batch_size,bce_pos_class_weight,dropout_p,hidden_layer_size,input_layer_norm,lr,num_layers,optimizer_type,sequence_length,weight_decay,tss,hss,iteration
6884,56,128,10,0.1,24,False,0.005,2,adam,35,0.01,0.4384,0.3028,_9
8252,40,128,5,0.1,4,False,0.015,1,adam,45,0.01,0.2959,0.2975,10
7060,50,128,10,0.1,24,False,0.005,1,adam,35,0.01,0.3969,0.2972,_9
2823,433,256,30,0.1,4,False,0.005,1,adam,40,0.01,0.4824,0.2937,_4
7245,24,128,10,0.1,4,False,0.005,1,adam,25,0.01,0.371,0.2921,_9
4313,53,128,15,0.1,32,False,0.005,1,adam,45,0.05,0.4188,0.2914,_6
6931,568,256,10,0.2,24,False,0.01,1,adam,45,0.01,0.4269,0.2896,_9
8141,75,128,5,0.2,2,False,0.0065,1,adam,35,0.05,0.3457,0.2896,10
4248,51,128,15,0.1,32,False,0.005,1,adam,40,0.05,0.4375,0.2881,_6
8086,76,128,5,0.2,2,False,0.0065,1,adam,45,0.01,0.3626,0.2878,10
3593,113,128,15,0.5,4,False,0.0075,1,adam,45,0.025,0.4579,0.2858,_5
4367,77,128,15,0.5,2,False,0.005,1,adam,45,0.05,0.407,0.2844,_6
7040,570,256,10,0.2,24,False,0.01,2,adam,25,0.01,0.4006,0.2825,_9
5951,449,256,15,0.1,2,False,0.025,1,adam,45,0.075,0.4451,0.2824,_8
8170,50,128,5,0.1,16,False,0.0065,1,adam,35,0.01,0.335,0.2823,10
5053,17,128,20,0.1,2,False,0.01,1,adam,45,0.05,0.4583,0.2816,_7
4299,505,256,15,0.5,2,False,0.005,1,adam,15,0.05,0.4215,0.2813,_6
3620,131,128,15,0.5,16,False,0.005,2,adam,45,0.025,0.425,0.2812,_5
4301,562,256,15,0.5,32,False,0.005,2,adam,45,0.01,0.4214,0.2812,_6
7247,540,256,10,0.2,4,False,0.01,1,adam,25,0.01,0.3702,0.2806,_9
