,Unnamed: 0,batch_size,bce_pos_class_weight,dropout_p,hidden_layer_size,input_layer_norm,lr,num_layers,optimizer_type,sequence_length,weight_decay,tss,hss,iteration
6752,831,256,60,0.2,4,False,0.01,1,adam,35,0.05,0.5347,0.2149,_9
6753,735,256,60,0.1,2,False,0.01,1,adam,35,0.05,0.5304,0.2031,_9
2048,19,128,30,0.1,2,False,0.005,1,adam,45,0.01,0.5261,0.2082,_3
7616,723,256,80,0.1,2,False,0.0065,1,adam,35,0.05,0.5235,0.1588,10
7617,291,128,80,0.1,2,False,0.0065,1,adam,35,0.05,0.5161,0.1694,10
4160,364,128,45,0.5,2,False,0.005,1,adam,45,0.01,0.5122,0.2218,_6
7618,663,256,50,0.2,2,False,0.015,1,adam,35,0.05,0.5098,0.2064,10
5024,758,256,60,0.1,4,False,0.01,1,adam,40,0.005,0.5094,0.1905,_7
6754,317,128,60,0.1,4,False,0.005,1,adam,45,0.05,0.5084,0.1831,_9
4161,758,256,45,0.1,4,False,0.0075,1,adam,40,0.01,0.5079,0.1986,_6
7619,662,256,50,0.2,2,False,0.015,1,adam,35,0.01,0.5071,0.2105,10
7620,615,256,50,0.1,4,False,0.015,1,adam,35,0.05,0.5069,0.2061,10
6755,771,256,60,0.1,24,False,0.005,1,adam,35,0.05,0.5048,0.1809,_9
7621,399,128,80,0.2,4,False,0.015,1,adam,35,0.05,0.5041,0.1606,10
6756,339,128,60,0.1,24,False,0.005,1,adam,35,0.05,0.5022,0.1828,_9
6757,421,128,60,0.2,24,False,0.01,1,adam,25,0.05,0.5017,0.1638,_9
2817,51,128,30,0.1,4,False,0.005,1,adam,45,0.01,0.5012,0.2458,_4
6758,779,256,60,0.1,24,False,0.005,2,adam,45,0.05,0.5001,0.1992,_9
2049,123,128,30,0.5,2,False,0.01,1,adam,45,0.01,0.5,0.2614,_3
5889,303,128,65,0.1,2,False,0.025,1,adam,40,0.075,0.4993,0.147,_8
