,Unnamed: 0,batch_size,bce_pos_class_weight,dropout_p,hidden_layer_size,input_layer_norm,lr,num_layers,optimizer_type,sequence_length,weight_decay,tss,hss,iteration,tss+hss
2823,433,256,30,0.1,4,False,0.005,1,adam,40,0.01,0.4824,0.2937,_4,0.7761
2049,123,128,30,0.5,2,False,0.01,1,adam,45,0.01,0.5,0.2614,_3,0.7614000000000001
4164,699,256,30,0.5,32,False,0.005,1,adam,40,0.05,0.4854,0.2665,_6,0.7519
7631,593,256,50,0.1,2,False,0.015,1,adam,45,0.05,0.4789,0.2713,10,0.7502
6752,831,256,60,0.2,4,False,0.01,1,adam,35,0.05,0.5347,0.2149,_9,0.7495999999999999
2817,51,128,30,0.1,4,False,0.005,1,adam,45,0.01,0.5012,0.2458,_4,0.747
4172,217,128,30,0.5,2,False,0.005,1,adam,15,0.05,0.4754,0.2706,_6,0.746
3593,113,128,15,0.5,4,False,0.0075,1,adam,45,0.025,0.4579,0.2858,_5,0.7437
5898,603,256,35,0.1,4,False,0.01,1,adam,40,0.075,0.4762,0.2662,_8,0.7424
6884,56,128,10,0.1,24,False,0.005,2,adam,35,0.01,0.4384,0.3028,_9,0.7412000000000001
5053,17,128,20,0.1,2,False,0.01,1,adam,45,0.05,0.4583,0.2816,_7,0.7399
4165,627,256,30,0.1,32,False,0.005,1,adam,40,0.05,0.4849,0.2544,_6,0.7393000000000001
6764,701,256,30,0.2,24,False,0.005,1,adam,45,0.05,0.4826,0.2546,_9,0.7372
5888,604,256,35,0.1,4,False,0.01,1,adam,45,0.001,0.4993,0.2375,_8,0.7368
2816,19,128,30,0.1,2,False,0.005,1,adam,45,0.01,0.5257,0.2111,_4,0.7367999999999999
6759,686,256,30,0.2,4,False,0.01,1,adam,35,0.01,0.4974,0.2386,_9,0.736
2819,147,128,30,0.5,4,False,0.005,1,adam,45,0.01,0.4932,0.2424,_4,0.7356
4160,364,128,45,0.5,2,False,0.005,1,adam,45,0.01,0.5122,0.2218,_6,0.734
6753,735,256,60,0.1,2,False,0.01,1,adam,35,0.05,0.5304,0.2031,_9,0.7335
3584,575,256,30,0.5,16,False,0.0075,2,adam,45,0.025,0.4923,0.2395,_5,0.7318
