,Unnamed: 0,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss,iteration
3328,97,3584,15,48,0.05,256,0.005,adam,30,0.05,0.3197,0.2223,_5
3109,34,3584,15,16,0.05,768,0.005,sgd,120,0.0025,0.3695,0.2187,_5
3312,402,4864,15,16,0.05,256,0.025,sgd,30,0.0025,0.3221,0.2176,_5
3648,526,4864,15,48,0.05,768,0.025,sgd,120,0.0025,0.2634,0.2172,_5
2617,431,4096,15,8,0.1,512,0.03,sgd,120,0.05,0.2691,0.2144,_4
3177,44,3584,15,16,0.05,768,0.025,sgd,60,0.0025,0.3461,0.2139,_5
3321,549,4864,15,48,0.4,256,0.025,sgd,60,0.05,0.3205,0.2139,_5
3552,35,3584,15,16,0.05,768,0.005,sgd,120,0.05,0.2874,0.2136,_5
1224,575,4096,30,64,0.3,2048,0.025,sgd,180,0.01,0.2431,0.2131,_2
3537,416,4864,15,16,0.05,768,0.005,sgd,60,0.0025,0.2909,0.2113,_5
3363,482,4864,15,48,0.05,256,0.005,adam,60,0.0025,0.3144,0.2108,_5
3395,394,4864,15,16,0.05,256,0.005,sgd,120,0.0025,0.31,0.2103,_5
3506,410,4864,15,16,0.05,768,0.005,adam,60,0.0025,0.2964,0.2081,_5
1607,525,4096,20,256,0.1,2048,0.05,sgd,120,0.01,0.2876,0.2079,_3
3649,68,3584,15,16,0.4,256,0.025,sgd,60,0.0025,0.2633,0.2075,_5
2445,503,4096,15,32,0.1,128,0.03,sgd,120,0.05,0.3044,0.207,_4
3221,141,3584,15,48,0.05,768,0.025,sgd,60,0.05,0.3364,0.2067,_5
3365,2,3584,15,16,0.05,256,0.005,adam,60,0.0025,0.314,0.2064,_5
2457,4,2048,15,8,0.1,128,0.0075,adam,120,0.001,0.3032,0.2057,_4
3440,115,3584,15,48,0.05,256,0.025,sgd,30,0.05,0.3049,0.2055,_5
