,Unnamed: 0,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss,iteration,tss+hss
3109,34,3584,15,16,0.05,768,0.005,sgd,120,0.0025,0.3695,0.2187,_5,0.5882000000000001
2304,630,4096,50,8,0.3,128,0.0075,sgd,30,0.001,0.4439,0.1438,_4,0.5877
3074,675,4864,50,48,0.05,256,0.005,adam,60,0.05,0.4167,0.1705,_5,0.5872
2314,384,4096,15,8,0.1,128,0.0075,adam,30,0.001,0.3805,0.2024,_4,0.5829
3073,753,4864,50,48,0.4,768,0.005,sgd,60,0.05,0.4242,0.1585,_5,0.5827
3072,336,3584,50,48,0.4,256,0.005,adam,30,0.0025,0.4354,0.1377,_5,0.5730999999999999
2310,241,2048,50,8,0.3,128,0.0075,adam,30,0.05,0.3842,0.1772,_4,0.5614
3177,44,3584,15,16,0.05,768,0.025,sgd,60,0.0025,0.3461,0.2139,_5,0.56
3094,583,4864,50,16,0.05,256,0.005,sgd,30,0.05,0.3795,0.179,_5,0.5585
3092,172,3584,15,48,0.4,768,0.005,adam,120,0.0025,0.3832,0.1739,_5,0.5570999999999999
3078,722,4864,50,48,0.4,256,0.005,adam,60,0.0025,0.4099,0.1453,_5,0.5552
3101,79,3584,15,16,0.4,768,0.005,sgd,30,0.05,0.3735,0.1817,_5,0.5552
3083,659,4864,50,16,0.4,768,0.005,sgd,120,0.05,0.3921,0.1597,_5,0.5518000000000001
3088,72,3584,15,16,0.4,768,0.005,adam,30,0.0025,0.386,0.1658,_5,0.5518000000000001
3151,92,3584,15,16,0.4,768,0.025,sgd,60,0.0025,0.3526,0.1989,_5,0.5515
3155,116,3584,15,48,0.05,256,0.025,sgd,60,0.0025,0.3512,0.1999,_5,0.5511
3122,164,3584,15,48,0.4,256,0.025,sgd,60,0.0025,0.3616,0.1895,_5,0.5510999999999999
3141,31,3584,15,16,0.05,768,0.005,sgd,30,0.05,0.356,0.1935,_5,0.5495
3102,611,4864,50,16,0.05,768,0.005,sgd,120,0.05,0.3726,0.1756,_5,0.5482
3079,667,4864,50,16,0.4,768,0.025,sgd,30,0.05,0.402,0.1424,_5,0.5444
