,Unnamed: 0,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss,iteration
2304,630,4096,50,8,0.3,128,0.0075,sgd,30,0.001,0.4439,0.1438,_4
3072,336,3584,50,48,0.4,256,0.005,adam,30,0.0025,0.4354,0.1377,_5
3073,753,4864,50,48,0.4,768,0.005,sgd,60,0.05,0.4242,0.1585,_5
3074,675,4864,50,48,0.05,256,0.005,adam,60,0.05,0.4167,0.1705,_5
3075,340,3584,50,48,0.4,256,0.005,adam,120,0.0025,0.4142,0.1262,_5
3076,650,4864,50,16,0.4,768,0.005,adam,60,0.0025,0.4124,0.119,_5
2305,673,4096,50,32,0.1,128,0.0075,adam,30,0.05,0.4119,0.1194,_4
3077,271,3584,50,16,0.4,768,0.005,sgd,30,0.05,0.4109,0.1191,_5
768,708,4096,60,64,0.1,128,0.0075,sgd,60,0.001,0.4104,0.1247,_2
3078,722,4864,50,48,0.4,256,0.005,adam,60,0.0025,0.4099,0.1453,_5
3079,667,4864,50,16,0.4,768,0.025,sgd,30,0.05,0.402,0.1424,_5
3080,362,3584,50,48,0.4,768,0.005,adam,60,0.0025,0.401,0.1234,_5
3081,613,4864,50,16,0.05,768,0.025,adam,30,0.05,0.4001,0.0962,_5
2306,714,4096,50,32,0.1,512,0.03,sgd,30,0.001,0.3973,0.1374,_4
2307,582,4096,50,8,0.1,128,0.0075,sgd,30,0.001,0.393,0.1395,_4
3082,345,3584,50,48,0.4,256,0.005,sgd,60,0.05,0.3927,0.1392,_5
3083,659,4864,50,16,0.4,768,0.005,sgd,120,0.05,0.3921,0.1597,_5
3084,744,4864,50,48,0.4,768,0.005,adam,30,0.0025,0.3917,0.1358,_5
2308,762,4096,50,32,0.3,512,0.03,sgd,30,0.001,0.3914,0.126,_4
3085,607,4864,50,16,0.05,768,0.005,sgd,30,0.05,0.3894,0.1548,_5
