,batch_size,bce_pos_class_weight,cnn_filters,dropout_p,fc_size,lr,optimizer_type,sequence_length,weight_decay,tss,hss
336,3584,50,48,0.4,256,0.005,adam,30,0.0025,0.4354,0.1377
753,4864,50,48,0.4,768,0.005,sgd,60,0.05,0.4242,0.1585
675,4864,50,48,0.05,256,0.005,adam,60,0.05,0.4167,0.1705
340,3584,50,48,0.4,256,0.005,adam,120,0.0025,0.4142,0.1262
650,4864,50,16,0.4,768,0.005,adam,60,0.0025,0.4124,0.119
271,3584,50,16,0.4,768,0.005,sgd,30,0.05,0.4109,0.1191
722,4864,50,48,0.4,256,0.005,adam,60,0.0025,0.4099,0.1453
667,4864,50,16,0.4,768,0.025,sgd,30,0.05,0.402,0.1424
362,3584,50,48,0.4,768,0.005,adam,60,0.0025,0.401,0.1234
613,4864,50,16,0.05,768,0.025,adam,30,0.05,0.4001,0.0962
345,3584,50,48,0.4,256,0.005,sgd,60,0.05,0.3927,0.1392
659,4864,50,16,0.4,768,0.005,sgd,120,0.05,0.3921,0.1597
744,4864,50,48,0.4,768,0.005,adam,30,0.0025,0.3917,0.1358
607,4864,50,16,0.05,768,0.005,sgd,30,0.05,0.3894,0.1548
242,3584,50,16,0.4,256,0.005,adam,60,0.0025,0.3881,0.1388
284,3584,50,16,0.4,768,0.025,sgd,60,0.0025,0.3876,0.1169
72,3584,15,16,0.4,768,0.005,adam,30,0.0025,0.386,0.1658
247,3584,50,16,0.4,256,0.005,sgd,30,0.05,0.386,0.1304
750,4864,50,48,0.4,768,0.005,sgd,30,0.0025,0.3854,0.155
354,3584,50,48,0.4,256,0.025,sgd,30,0.0025,0.3852,0.1138
172,3584,15,48,0.4,768,0.005,adam,120,0.0025,0.3832,0.1739
723,4864,50,48,0.4,256,0.005,adam,60,0.05,0.3806,0.1507
583,4864,50,16,0.05,256,0.005,sgd,30,0.05,0.3795,0.179
195,3584,50,16,0.05,256,0.005,adam,60,0.05,0.3795,0.1292
716,4864,50,48,0.05,768,0.025,sgd,60,0.0025,0.3792,0.1526
225,3584,50,16,0.05,768,0.005,sgd,60,0.05,0.3788,0.131
176,3584,15,48,0.4,768,0.005,sgd,60,0.0025,0.3779,0.1643
728,4864,50,48,0.4,256,0.005,sgd,60,0.0025,0.3768,0.107
282,3584,50,16,0.4,768,0.025,sgd,30,0.0025,0.3743,0.1031
79,3584,15,16,0.4,768,0.005,sgd,30,0.05,0.3735,0.1817
611,4864,50,16,0.05,768,0.005,sgd,120,0.05,0.3726,0.1756
708,4864,50,48,0.05,768,0.025,adam,30,0.0025,0.3726,0.1002
655,4864,50,16,0.4,768,0.005,sgd,30,0.05,0.372,0.1588
627,4864,50,16,0.4,256,0.005,adam,60,0.05,0.3712,0.1406
330,3584,50,48,0.05,768,0.025,sgd,30,0.0025,0.3706,0.1159
285,3584,50,16,0.4,768,0.025,sgd,60,0.05,0.3703,0.1123
343,3584,50,48,0.4,256,0.005,sgd,30,0.05,0.3701,0.1295
34,3584,15,16,0.05,768,0.005,sgd,120,0.0025,0.3695,0.2187
755,4864,50,48,0.4,768,0.005,sgd,120,0.05,0.3687,0.1463
623,4864,50,16,0.05,768,0.025,sgd,120,0.05,0.3686,0.1288
654,4864,50,16,0.4,768,0.005,sgd,30,0.0025,0.366,0.1341
49,3584,15,16,0.4,256,0.005,adam,30,0.05,0.3657,0.175
267,3584,50,16,0.4,768,0.005,adam,60,0.05,0.3635,0.1013
331,3584,50,48,0.05,768,0.025,sgd,30,0.05,0.3628,0.1191
283,3584,50,16,0.4,768,0.025,sgd,30,0.05,0.3628,0.1166
272,3584,50,16,0.4,768,0.005,sgd,60,0.0025,0.3624,0.1262
730,4864,50,48,0.4,256,0.005,sgd,120,0.0025,0.3622,0.1204
726,4864,50,48,0.4,256,0.005,sgd,30,0.0025,0.3621,0.121
346,3584,50,48,0.4,256,0.005,sgd,120,0.0025,0.362,0.1267
